"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",597.422164688912,5.14388957767521e-06,0.00144268800921467,0.676597713490151,0.999682268560792
"ENSG00000000419",269.057884729688,7.45733689238966e-07,0.00144267226960431,0.854789370238381,0.999682268560792
"ENSG00000000457",219.383970175699,-2.07734004921134e-06,0.00144268197518777,0.509529928982957,0.999682268560792
"ENSG00000000460",556.707736923177,-2.45172770504785e-05,0.00144279219898961,0.704708669252482,0.999682268560792
"ENSG00000000938",12.6276640548297,-8.42302492851597e-07,0.00144269314001766,0.490407283214092,0.999682268560792
"ENSG00000000971",24.7569385953837,-7.23697001838791e-07,0.00144269269255741,0.588027081435636,0.999682268560792
"ENSG00000001036",1749.75906300805,-7.96671121057057e-06,0.00144270182480661,0.500947271275901,0.999682268560792
"ENSG00000001084",336.508666388472,-5.97757251440454e-07,0.0014426810522213,0.849089102147586,0.999682268560792
"ENSG00000001167",419.631529258549,3.74523120294695e-06,0.00144265704599686,0.488896858800961,0.999682268560792
"ENSG00000001460",162.593753640769,-7.69859588773481e-07,0.00144268342122545,0.789399108589517,0.999682268560792
"ENSG00000001461",851.003786360932,3.22220034817338e-07,0.00144268176587408,0.919861623612529,0.999682268560792
"ENSG00000001497",509.924391028074,4.59659245836769e-06,0.00144266461147999,0.355376898036491,0.999682268560792
"ENSG00000001561",534.070988078432,-1.90004909162444e-06,0.0014426645944023,0.686794543465963,0.999682268560792
"ENSG00000001617",115.569385665523,-1.79579149805966e-06,0.00144268409561579,0.533428713575808,0.999682268560792
"ENSG00000001626",25.1518851360323,-1.35410589298041e-07,0.00144269489429136,0.679967746474553,0.999682268560792
"ENSG00000001629",1330.28468857247,1.00778384294711e-05,0.00144263581421927,0.176354517588373,0.999682268560792
"ENSG00000001631",536.087376517879,1.06485757549353e-05,0.0014426255902727,0.184210764299646,0.999682268560792
"ENSG00000002016",88.3183473940477,7.95934646466158e-07,0.00144268632121404,0.754109307851801,0.999682268560792
"ENSG00000002330",74.5937409752454,-4.99858046148081e-06,0.00144268587507615,0.110083554496208,0.999682268560792
"ENSG00000002549",497.114159762176,1.69003748531327e-06,0.00144267180229758,0.68481204316942,0.999682268560792
"ENSG00000002586",543.756956543207,-2.207672110631e-06,0.00144267099022884,0.60086563857932,0.999682268560792
"ENSG00000002587",23.958781397802,1.52191452898665e-06,0.00144268991116798,0.451745653628944,0.999682268560792
"ENSG00000002822",181.976104844324,3.65537802202024e-08,0.00144266025611199,0.995879119500394,0.999682268560792
"ENSG00000002834",2184.16733881407,-1.51825223181123e-06,0.00144267104571506,0.715422813607224,0.999682268560792
"ENSG00000002919",338.49500759033,9.09429020242893e-07,0.0014426566510901,0.864608414837537,0.999682268560792
"ENSG00000002933",45.4476075754445,-1.75369050822449e-06,0.00144269190598445,0.283496349974762,0.999682268560792
"ENSG00000003056",904.705082203612,1.70578591461593e-06,0.00144265302407823,0.759580273714115,0.999682268560792
"ENSG00000003096",62.1261476393528,-1.62880144535947e-06,0.00144268440633981,0.564221643570427,0.999682268560792
"ENSG00000003137",1043.98579933323,-7.26747339988589e-07,0.00144269470837901,0.195606349931357,0.999682268560792
"ENSG00000003147",365.929218482176,1.25748964522297e-06,0.00144268984768826,0.566421330161117,0.999682268560792
"ENSG00000003249",508.841586809997,1.90435737250884e-06,0.00144268660856243,0.845363219327509,0.999682268560792
"ENSG00000003393",470.663105337862,5.79548601180462e-06,0.00144262826946425,0.423683229587784,0.999682268560792
"ENSG00000003400",224.129862326621,4.85745961616278e-06,0.00144267288485403,0.265821861184934,0.999682268560792
"ENSG00000003402",881.836430202503,2.68835254094015e-06,0.00144266462388401,0.575482896690906,0.999682268560792
"ENSG00000003436",627.539936888946,-1.68788259051702e-07,0.00144269425400492,0.798397504683665,0.999682268560792
"ENSG00000003509",127.680503577047,-1.91116052172391e-05,0.00144271558734422,0.417421964993404,0.999682268560792
"ENSG00000003756",529.080738179302,6.20613318390253e-06,0.00144267637354963,0.147801533107523,0.999682268560792
"ENSG00000003987",160.290097290553,-7.90896790199347e-07,0.00144269269058873,0.550737233672994,0.999682268560792
"ENSG00000003989",6755.68183360469,-2.68448500244002e-06,0.00144268581344049,0.328325062027868,0.999682268560792
"ENSG00000004059",753.812121139864,6.45480776831347e-07,0.00144266050045511,0.89880824052382,0.999682268560792
"ENSG00000004139",130.056501691654,-1.69399449562428e-06,0.00144269206901399,0.287126654885859,0.999682268560792
"ENSG00000004142",981.720137534678,-2.31787160122701e-07,0.00144266906641948,0.955247903521491,0.999682268560792
"ENSG00000004399",612.628170436784,-3.32195062205815e-06,0.00144269012265845,0.329965135766921,0.999682268560792
"ENSG00000004455",778.851218925034,1.83375880032986e-07,0.00144268391000209,0.951432634720594,0.999682268560792
"ENSG00000004478",1230.34409135911,-1.0833954785473e-06,0.00144267547669858,0.771937211018525,0.999682268560792
"ENSG00000004487",848.79875810881,1.47497680809397e-06,0.00144267989912954,0.660448846445136,0.999682268560792
"ENSG00000004534",1042.57133921929,1.53680832137278e-06,0.00144266142450771,0.758047333871576,0.999682268560792
"ENSG00000004660",114.658966781326,-9.03350399448307e-07,0.00144266153631267,0.853475493806322,0.999682268560792
"ENSG00000004700",315.535449801966,1.49805788918834e-06,0.00144268313942382,0.616639796343418,0.999682268560792
"ENSG00000004766",348.276198024412,3.52465273150719e-06,0.00144268326769971,0.29167230974937,0.999682268560792
"ENSG00000004776",18.795958435797,-1.39674423997325e-06,0.00144269403484024,0.172173113239476,0.999682268560792
"ENSG00000004777",161.397123296424,4.56777181883726e-06,0.00144268145835018,0.195624740722752,0.999682268560792
"ENSG00000004779",407.850189484857,4.59596604619095e-06,0.00144264109189625,0.476620823672002,0.999682268560792
"ENSG00000004799",91.291180529152,-6.94956085639876e-07,0.0014426824711143,0.816119576911742,0.999682268560792
"ENSG00000004809",7.58051915506901,1.29090032762104e-07,0.00144269471015723,0.797428114283426,0.999682268560792
"ENSG00000004838",39.8043053516254,6.91901597720555e-07,0.00144268848270663,0.753800505911032,0.999682268560792
